AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
80:B2:34:1E:42:24,DPC3941B,8131 GERMANTOWN AVE,FRNT,Philadelphia,PA,19118,40.073116,-75.20212,Freedom,Chestnut Hill,Primary,N/A
80:B2:34:1F:4C:E6,DPC3941B,1127 E DUNTON ST,,Philadelphia,PA,19123,39.967876,-75.13498,Freedom,Fishtown,Secondary,N/A
80:B2:34:1F:15:37,DPC3941B,1020 N DELAWARE AVE,FL 1ST,Philadelphia,PA,19125,39.965816,-75.132774,Freedom,Fishtown,Secondary,N/A
80:B2:34:1F:19:C4,DPC3941B,162 PEDDLERS VLG,UNIT DUP1,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
80:B2:34:1F:35:62,DPC3941B,931 CLINTON ST,LBBY,Philadelphia,PA,19107,39.945374,-75.157814,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:1F:55:42,DPC3941B,100 W OXFORD ST,STE E1500,Philadelphia,PA,19122,39.973774,-75.13522,Freedom,Fishtown,Secondary,N/A
80:B2:34:2D:3C:CA,DPC3941B,1400 N FRONT ST,,Philadelphia,PA,19122,39.972034,-75.1354,Freedom,Fishtown,Secondary,N/A
80:B2:34:2D:59:AD,DPC3941B,1136 PINE ST,,Philadelphia,PA,19107,39.944946,-75.16125,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:2E:27:ED,DPC3941B,7946 GERMANTOWN AVE,SPC CORNER,Philadelphia,PA,19118,40.070496,-75.200584,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:2E:43:31,DPC3941B,8523 GERMANTOWN AVE,UNIT STOR,Philadelphia,PA,19118,40.076637,-75.20685,Freedom,Chestnut Hill,Primary,N/A
80:B2:34:4C:98:EF,DPC3941B,5812 LOWER YORK RD,BLDG B,New Hope,PA,18938,40.34635,-75.0327,Freedom,Peddlers Village,Primary,N/A
80:B2:34:4C:DD:D2,DPC3941B,8022 GERMANTOWN AVE,UNIT 1 UNIT 1,Philadelphia,PA,19118,40.071163,-75.20158,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:4D:1A:B8,DPC3941B,2400 STREET RD,UNIT 62,New Hope,PA,18938,40.347054,-75.02953,Freedom,Peddlers Village,Primary,N/A
80:B2:34:4D:2C:A1,DPC3941B,8513 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07654,-75.20653,Freedom,Chestnut Hill,Primary,N/A
80:B2:34:4D:14:BE,DPC3941B,53 PEDDLERS VILLAGE RD,,Lahaska,PA,18931,40.34789,-75.03135,Freedom,Peddlers Village,Primary,N/A
80:B2:34:4D:18:DD,DPC3941B,700 S 13TH ST,OFC TWK,Philadelphia,PA,19147,39.94244,-75.1638,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:20:0A:AA,DPC3941B,721 SOUTH ST,OFC B,Philadelphia,PA,19147,39.942493,-75.1549,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:22:C5:A1,DPC3941B,710 SOUTH ST,FRNT STOR,Philadelphia,PA,19147,39.94209,-75.15434,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:22:C5:B5,DPC3941B,818 SOUTH ST,BSMT,Philadelphia,PA,19147,39.942303,-75.15614,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:22:EB:99,DPC3941B,602 S 11TH ST,UNIT 2,Philadelphia,PA,19147,39.94296,-75.16199,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:22:ED:D8,DPC3941B,800 S 9TH ST,,Philadelphia,PA,19147,39.939686,-75.15786,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:23:37:0C,DPC3941B,756 S 11TH ST,FL 2,Philadelphia,PA,19147,39.940697,-75.161,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:25:7E:AE,DPC3941B,822 PINE ST,STE 2C,Philadelphia,PA,19107,39.94415,-75.156105,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:25:AC:99,DPC3941B,609 S CLIFTON ST,,Philadelphia,PA,19147,39.942646,-75.15971,Freedom,South St Zone 1,Primary,N/A
80:B2:34:25:B6:F8,DPC3941B,7945 GERMANTOWN AVE,STE STOREB,Philadelphia,PA,19118,40.0708,-75.20042,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:26:7A:A2,DPC3941B,1108 FRANKFORD AVE,STE 2,Philadelphia,PA,19125,39.967266,-75.1348,Freedom,Fishtown,Secondary,N/A
80:B2:34:26:C5:B6,DPC3941B,645 SOUTH ST,,Philadelphia,PA,19147,39.94234,-75.15374,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:30:70:11,DPC3941B,601 S 10TH ST,OFC 2,Philadelphia,PA,19147,39.94269,-75.15851,Freedom,South St Zone 1,Primary,N/A
80:B2:34:30:F2:4D,DPC3941B,626 S 12TH ST,,Philadelphia,PA,19147,39.942436,-75.16216,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:32:78:D4,DPC3941B,117 W GIRARD AVE,OFC,Philadelphia,PA,19123,39.9692,-75.13678,Freedom,Fishtown,Secondary,N/A
80:B2:34:33:1E:97,DPC3941B,721 S JESSUP ST,OFC TWK,Philadelphia,PA,19147,39.94164,-75.16104,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:33:9C:FA,DPC3941B,5667 YORK RD,OFC 8,New Hope,PA,18938,40.344894,-75.03754,Freedom,Peddlers Village,Secondary,N/A
80:B2:34:33:15:96,DPC3941B,1225 FITZWATER ST,,Philadelphia,PA,19147,39.941612,-75.16309,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:33:24:E6,DPC3941B,1001 SOUTH ST,OFC ADD'L,Philadelphia,PA,19147,39.943108,-75.15936,Freedom,South St Zone 1,Primary,N/A
80:B2:34:33:39:A9,DPC3941B,1639 N HANCOCK ST,STE 100,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
80:B2:34:33:56:D7,DPC3941B,330 E GIRARD AVE,,Philadelphia,PA,19125,39.9699,-75.13061,Freedom,Fishtown,Secondary,N/A
80:B2:34:33:98:AE,DPC3941B,15 W HIGHLAND AVE,,Philadelphia,PA,19118,40.07561,-75.20681,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:34:32:F0,DPC3941B,9 W EVERGREEN AVE,UNIT 101,Philadelphia,PA,19118,40.07537,-75.209015,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:34:35:6B,DPC3941B,5860 YORK RD,BLDG 1,Lahaska,PA,18931,40.346275,-75.03575,Freedom,Peddlers Village,Primary,N/A
80:B2:34:34:37:AF,DPC3941B,5775 YORK RD,,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
80:B2:34:48:79:31,DPC3941B,1034 SPRUCE ST,FL 1,Philadelphia,PA,19107,39.945995,-75.159424,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:48:B1:21,DPC3941B,801 S 9TH ST,UNIT NATL,Philadelphia,PA,19147,39.939415,-75.15737,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:49:92:71,DPC3941B,1313 N HOWARD ST,,Philadelphia,PA,19122,39.97091,-75.13668,Freedom,Fishtown,Secondary,N/A
80:B2:34:49:C6:24,DPC3941B,15 W GIRARD AVE,,Philadelphia,PA,19123,39.969093,-75.13499,Freedom,Fishtown,Primary,N/A
80:B2:34:49:CC:E1,DPC3941B,519 S 9TH ST,FL 1,Philadelphia,PA,19147,39.942883,-75.15671,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:49:CD:3B,DPC3941B,1639 N HANCOCK ST,STE 102,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
80:B2:34:49:DF:47,DPC3941B,822 PINE ST,STE 2A,Philadelphia,PA,19107,39.94415,-75.156105,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:57:0A:AA,DPC3941B,5800 UPPER YORK RD,,New Hope,PA,18938,40.346863,-75.03493,Freedom,Peddlers Village,Primary,N/A
80:B2:34:57:0F:E1,DPC3941B,50 PEDDLERS VLG,SPC 50,Lahaska,PA,18931,40.34788,-75.031334,Freedom,Peddlers Village,Primary,N/A
80:B2:34:57:15:27,DPC3941B,8512 GERMANTOWN AVE,,Philadelphia,PA,19118,40.075787,-75.207275,Freedom,Chestnut Hill,Secondary,N/A
80:B2:34:57:16:5D,DPC3941B,301 S 8TH ST,STE 3H,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:58:8C:D6,DPC3941B,320 S 10TH ST,RM ELECTRICAL,Philadelphia,PA,19107,39.94495,-75.158424,Freedom,South St Zone 1,Secondary,N/A
80:B2:34:58:A5:6D,DPC3941B,164 PEDDLERS VLG,,Lahaska,PA,18931,40.347664,-75.031456,Freedom,Peddlers Village,Primary,N/A
80:B2:34:58:AD:EC,DPC3941B,1426 FRANKFORD AVE,,Philadelphia,PA,19125,39.972466,-75.1346,Freedom,Fishtown,Primary,N/A
84:8D:C7:F9:76:8C,DPC3939B,42 PEDDLERS VLG RD,,Lahaska,PA,18931,40.34777,-75.03145,Freedom,Peddlers Village,Primary,N/A
94:6A:77:F9:DD:4C,DPC3941B,8419 GERMANTOWN AVE,APT 2,Philadelphia,PA,19118,40.0758,-75.20529,Freedom,Chestnut Hill,Primary,N/A
94:6A:77:F9:EE:C7,DPC3941B,92 BETHLEHEM PIKE,STE 200,Philadelphia,PA,19118,40.080353,-75.20768,Freedom,Chestnut Hill,Secondary,N/A
94:6A:77:FA:0C:D6,DPC3941B,34 W GIRARD AVE,FL 1 OFC,Philadelphia,PA,19123,39.968666,-75.13596,Freedom,Fishtown,Secondary,N/A
94:6A:77:FA:0E:AC,DPC3941B,12 W WILLOW GROVE AVE,,Philadelphia,PA,19118,40.07006,-75.20087,Freedom,Chestnut Hill,Secondary,N/A
94:6A:77:FB:6C:FC,DPC3941B,7918 GERMANTOWN AVE,,Philadelphia,PA,19118,40.069927,-75.20012,Freedom,Chestnut Hill,Secondary,N/A
94:6A:77:FB:00:8C,DPC3941B,8638 GERMANTOWN AVE,LOWR,Philadelphia,PA,19118,40.077114,-75.20896,Freedom,Chestnut Hill,Secondary,N/A
94:6A:77:FB:51:EF,DPC3941B,5723 LOWER YORK RD,FRNT,New Hope,PA,18938,40.345726,-75.03582,Freedom,Peddlers Village,Primary,N/A
94:6A:77:FB:99:DE,DPC3941B,8705 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07757,-75.209076,Freedom,Chestnut Hill,Secondary,N/A
94:6A:77:FB:B5:31,DPC3941B,1429 FRANKFORD AVE,FL 1,Philadelphia,PA,19125,39.973053,-75.1338,Freedom,Fishtown,Primary,N/A
94:6A:77:FB:CA:8F,DPC3941B,1042 SOUTH ST,SPC STORE FRONT,Philadelphia,PA,19147,39.942818,-75.15991,Freedom,South St Zone 1,Primary,N/A
94:6A:77:FB:CB:1B,DPC3941B,724 SOUTH ST,,Philadelphia,PA,19147,39.94231,-75.15473,Freedom,South St Zone 1,Secondary,N/A
94:6A:77:FB:E7:40,DPC3941B,38 PEDDLERS VLG,FRNT STORE,Lahaska,PA,18931,40.3472,-75.03204,Freedom,Peddlers Village,Primary,N/A
94:6A:77:FC:8D:E9,DPC3941B,760 S 9TH ST,,Philadelphia,PA,19147,39.94007,-75.15785,Freedom,South St Zone 1,Secondary,N/A
94:6A:77:FC:8E:4D,DPC3941B,908 PINE ST,OFC,Philadelphia,PA,19107,39.94433,-75.15714,Freedom,South St Zone 1,Secondary,N/A
94:6A:77:FC:89:34,DPC3941B,736 S 8TH ST,,Philadelphia,PA,19147,39.940464,-75.156105,Freedom,South St Zone 1,Secondary,N/A
94:6A:77:FC:99:24,DPC3941B,160 PEDDLERS VLG,UNIT 160,Lahaska,PA,18931,40.34738,-75.03197,Freedom,Peddlers Village,Primary,N/A
94:6A:77:FD:4E:32,DPC3941B,1639 N HANCOCK ST,STE 309,Philadelphia,PA,19122,39.975536,-75.13696,Freedom,Fishtown,Secondary,N/A
94:6A:77:FD:24:ED,DPC3941B,202 GIRARD AVE,,Philadelphia,PA,19125,39.9689,-75.133385,Freedom,Fishtown,Secondary,N/A
94:6A:77:FD:73:C1,DPC3941B,800 S 12TH ST,FL 1,Philadelphia,PA,19147,39.94028,-75.16266,Freedom,South St Zone 1,Secondary,N/A
98:52:4A:5F:2D:C4,CGA4131COM,36 W GIRARD AVE,FL 1,Philadelphia,PA,19123,39.96883,-75.13591,Freedom,Fishtown,Secondary,N/A
98:52:4A:5F:4E:80,CGA4131COM,744 S 11TH ST,,Philadelphia,PA,19147,39.940975,-75.160995,Freedom,South St Zone 1,Secondary,N/A
98:52:4A:5F:47:B4,CGA4131COM,818 SOUTH ST,FL 1FL,Philadelphia,PA,19147,39.942303,-75.15614,Freedom,South St Zone 1,Secondary,N/A
98:52:4A:15:46:F6,CGA4131COM,1414 FRANKFORD AVE,FL 1,Philadelphia,PA,19125,39.97217,-75.134636,Freedom,Fishtown,Primary,N/A
98:52:4A:15:54:16,CGA4131COM,8419 GERMANTOWN AVE,STE 3,Philadelphia,PA,19118,40.07581,-75.20529,Freedom,Chestnut Hill,Primary,N/A
A4:56:CC:2C:6E:26,CGA4131COM,5775 RT 202 RTE,,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
A4:56:CC:2C:9B:DA,CGA4131COM,640 SOUTH ST,UNIT B,Philadelphia,PA,19147,39.941994,-75.15352,Freedom,South St Zone 1,Secondary,N/A
BC:9B:68:92:C9:96,DPC3941B,625 S 12TH ST,OFC MGT,Philadelphia,PA,19147,39.94266,-75.161896,Freedom,South St Zone 1,Secondary,N/A
BC:9B:68:92:F6:78,DPC3941B,1325 FRANKFORD AVE,OFC,Philadelphia,PA,19125,39.971027,-75.134285,Freedom,Fishtown,Primary,N/A
BC:9B:68:92:F8:12,DPC3941B,734 SOUTH ST,FL 1,Philadelphia,PA,19147,39.942127,-75.15506,Freedom,South St Zone 1,Secondary,N/A
BC:9B:68:92:FA:33,DPC3941B,1112 SHACKAMAXON ST,APT B OFC TWKR,Philadelphia,PA,19125,39.968124,-75.133575,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:0A:DC,DPC3941B,184 E EVERGREEN AVE,FL 2ND,Philadelphia,PA,19118,40.07697,-75.206535,Freedom,Chestnut Hill,Secondary,N/A
BC:9B:68:93:0B:13,DPC3941B,1007 FRANKFORD AVE,OFC,Philadelphia,PA,19125,39.96641,-75.13413,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:0E:C4,DPC3941B,1315 N HOWARD ST,,Philadelphia,PA,19122,39.97095,-75.136665,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:1F:72,DPC3941B,1116 SOUTH ST,FL 2ND,Philadelphia,PA,19147,39.942913,-75.160805,Freedom,South St Zone 1,Secondary,N/A
BC:9B:68:93:01:7C,DPC3941B,8501 GERMANTOWN AVE,,Philadelphia,PA,19118,40.076363,-75.20638,Freedom,Chestnut Hill,Primary,N/A
BC:9B:68:93:01:95,DPC3941B,1512 FRANKFORD AVE,FL 1 FRNT STORE,Philadelphia,PA,19125,39.97335,-75.134155,Freedom,Fishtown,Primary,N/A
BC:9B:68:93:09:BF,DPC3941B,12 W WILLOW GROVE AVE,OFC 2BUS,Philadelphia,PA,19118,40.07006,-75.20087,Freedom,Chestnut Hill,Secondary,N/A
BC:9B:68:93:11:53,DPC3941B,1204 N FRONT ST,FL 1,Philadelphia,PA,19122,39.969227,-75.136375,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:35:93,DPC3941B,145 W WILDEY ST,,Philadelphia,PA,19123,39.967125,-75.13829,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:41:7D,DPC3941B,1244 N FRONT ST,UNIT STORE,Philadelphia,PA,19122,39.970158,-75.136086,Freedom,Fishtown,Secondary,N/A
BC:9B:68:93:43:62,DPC3941B,19 PEDDLERS VLG,SPC SHP 70,Lahaska,PA,18931,40.347317,-75.032135,Freedom,Peddlers Village,Primary,N/A
BC:9B:68:94:AE:B9,DPC3941B,172 W MASTER ST,OFC,Philadelphia,PA,19122,39.97219,-75.13808,Freedom,Fishtown,Secondary,N/A
BC:9B:68:94:E8:E8,DPC3941B,168 PEDDLERS VLG,UNIT 44,Lahaska,PA,18931,40.3474,-75.0322,Freedom,Peddlers Village,Primary,N/A
BC:9B:68:94:F9:7D,DPC3941B,8506 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07617,-75.20665,Freedom,Chestnut Hill,Primary,N/A
BC:D1:65:9B:AD:EF,DPC3939B,700 S 10TH ST,SPC BSMT,Philadelphia,PA,19147,39.94179,-75.15914,Freedom,South St Zone 1,Secondary,N/A
BC:D1:65:9B:B8:26,DPC3939B,920 SOUTH ST,FL 1,Philadelphia,PA,19147,39.942524,-75.15778,Freedom,South St Zone 1,Primary,N/A
BC:D1:65:9B:F7:8C,DPC3939B,518 S 7TH ST,APT 1 OFC HOME OFC,Philadelphia,PA,19147,39.942696,-75.154045,Freedom,South St Zone 1,Secondary,N/A
C0:C6:87:02:C5:44,DPC3939B,2450 STREET RD,UNIT 20,New Hope,PA,18938,40.34798,-75.03141,Freedom,Peddlers Village,Primary,N/A
C0:C6:87:04:05:3A,DPC3939B,128 W GIRARD AVE,,Philadelphia,PA,19123,39.96886,-75.137215,Freedom,Fishtown,Secondary,N/A
C0:C6:87:07:7B:11,DPC3939B,5895 LOWER YORK RD,APT BANK,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
F4:4B:2A:1E:61:C3,DPC3941B,74 PEDDLERS VLG,OFC,Lahaska,PA,18931,40.34738,-75.03197,Freedom,Peddlers Village,Primary,N/A
F4:4B:2A:6F:6C:D0,DPC3941B,25 PEDDLERS VILLAGE RD,APT 25,Lahaska,PA,18931,40.34737,-75.03197,Freedom,Peddlers Village,Primary,N/A
F4:4B:2A:9E:A2:89,DPC3941B,1020 SOUTH ST,,Philadelphia,PA,19147,39.9427,-75.159325,Freedom,South St Zone 1,Primary,N/A
F4:4B:2A:9E:D8:76,DPC3941B,5860 LOWER YORK RD,STE 3D OFC,New Hope,PA,18938,40.346947,-75.03153,Freedom,Peddlers Village,Primary,N/A
F4:4B:2A:15:31:25,DPC3941B,108 W GIRARD AVE,FRNT STORE,Philadelphia,PA,19123,39.96872,-75.1366,Freedom,Fishtown,Secondary,N/A
F4:4B:2A:16:57:B2,DPC3941B,757 S 8TH ST,FL 1ST,Philadelphia,PA,19147,39.939762,-75.15583,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:25:8F:70,DPC3941B,767 S 9TH ST,,Philadelphia,PA,19147,39.93982,-75.157455,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:25:92:86,DPC3941B,1340 FRANKFORD AVE,,Philadelphia,PA,19125,39.971466,-75.134705,Freedom,Fishtown,Primary,N/A
F4:4B:2A:25:94:16,DPC3941B,1120 PINE ST,SPC BUS2,Philadelphia,PA,19107,39.94488,-75.16068,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:25:FB:2C,DPC3941B,1051 SOUTH ST,,Philadelphia,PA,19147,39.942913,-75.15961,Freedom,South St Zone 1,Primary,N/A
F4:4B:2A:71:A2:CA,DPC3941B,1018 PINE ST,UNIT FL1,Philadelphia,PA,19107,39.944595,-75.15899,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:72:28:94,DPC3941B,732 SOUTH ST,FRNT STOR,Philadelphia,PA,19147,39.942196,-75.15499,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:79:44:26,DPC3941B,428 S 13TH ST,OFC BUS2,Philadelphia,PA,19147,39.94455,-75.16343,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:80:CD:90,DPC3941B,8432 GERMANTOWN AVE,,Philadelphia,PA,19118,40.075512,-75.20607,Freedom,Chestnut Hill,Primary,N/A
F4:4B:2A:80:CE:F8,DPC3941B,8528 GERMANTOWN AVE,REAR OFC,Philadelphia,PA,19118,40.076294,-75.20735,Freedom,Chestnut Hill,Primary,N/A
F4:4B:2A:83:54:61,DPC3941B,1639 N HANCOCK ST,APT 402,Philadelphia,PA,19122,39.97551,-75.13698,Freedom,Fishtown,Secondary,N/A
F4:4B:2A:B0:F5:65,DPC3941B,922 PINE ST,APT BSMT OFC HBB,Philadelphia,PA,19107,39.944435,-75.15769,Freedom,South St Zone 1,Secondary,N/A
F4:4B:2A:B2:BD:14,DPC3941B,1755 N HOWARD ST,OFC HBB,Philadelphia,PA,19122,39.97689,-75.13497,Freedom,Fishtown,Secondary,N/A
F4:4B:2A:B2:D0:1F,DPC3941B,8009 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07115,-75.20078,Freedom,Chestnut Hill,Secondary,N/A
F4:4B:2A:B2:DE:CA,DPC3941B,1426 N FRONT ST,,Philadelphia,PA,19122,39.972652,-75.13537,Freedom,Fishtown,Secondary,N/A
F4:4B:2A:F3:94:1F,DPC3941B,1030 PINE ST,,Philadelphia,PA,19107,39.94473,-75.15935,Freedom,South St Zone 1,Secondary,N/A
FC:91:14:8A:30:DD,DPC3941B,1100 PINE ST,FL 1,Philadelphia,PA,19107,39.94472,-75.15995,Freedom,South St Zone 1,Secondary,N/A
FC:91:14:8A:33:1C,DPC3941B,1000 FRANKFORD AVE,RM ELECTRICAL 2,Philadelphia,PA,19125,39.96563,-75.13502,Freedom,Fishtown,Secondary,N/A
FC:91:14:8A:33:53,DPC3941B,700 S 11TH ST,,Philadelphia,PA,19147,39.942047,-75.16076,Freedom,South St Zone 1,Secondary,N/A
FC:91:14:8A:33:A3,DPC3941B,301 S 8TH ST,OFC B2,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
FC:91:14:89:CE:AE,DPC3941B,61 PEDDLERS VLG,,Lahaska,PA,18931,40.34737,-75.03197,Freedom,Peddlers Village,Primary,N/A
FC:91:14:C7:EA:72,DPC3941B,2400 STREET RD,UNIT 18,New Hope,PA,18938,40.347054,-75.02953,Freedom,Peddlers Village,Primary,N/A
FC:91:14:C8:42:24,DPC3941B,1022 SPRUCE ST,OFC,Philadelphia,PA,19107,39.945934,-75.158966,Freedom,South St Zone 1,Secondary,N/A
FC:91:14:C8:B4:6B,DPC3941B,5860 YORK RD,APT 3A,Lahaska,PA,18931,40.3475,-75.0325,Freedom,Peddlers Village,Primary,N/A
